org,repo,repo_type,size_mb,screenshot,reason
SeleniumHQ,seleniumhq.github.io,side,3860,screenshots/SeleniumHQ-seleniumhq.github.io.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
SeleniumHQ,selenium,main,2335,screenshots/SeleniumHQ-selenium.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
nodejs,node,main,1568,screenshots/nodejs-node.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
kubernetes,kubernetes,main,1490,screenshots/kubernetes-kubernetes.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
nodejs,node-auto-test,side,1317,screenshots/nodejs-node-auto-test.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
langchain-ai,docs,side,1118,screenshots/langchain-ai-docs.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
react,react-native-devtools-frontend,side,1108,screenshots/react-react-native-devtools-frontend.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
react,react,main,1072,screenshots/react-react.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
rust-lang,rust,main,983,screenshots/rust-lang-rust.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
react,react-native,side,960,screenshots/react-react-native.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
getsentry,sentry,main,928,screenshots/getsentry-sentry.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
anthropics,OpenROAD-flow-scripts,side,879,screenshots/anthropics-OpenROAD-flow-scripts.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
PrestaShop,PrestaShop,main,778,screenshots/PrestaShop-PrestaShop.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
langchain-ai,langchainjs,side,686,screenshots/langchain-ai-langchainjs.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
langchain-ai,langchain,main,589,screenshots/langchain-ai-langchain.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
freeCodeCamp,freeCodeCamp,main,567,screenshots/freeCodeCamp-freeCodeCamp.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
langchain-ai,langgraph,side,514,screenshots/langchain-ai-langgraph.png,">500MB; CSV still lacks active_authors, screenshot not refreshed"
